"Aktiv";"Name der Location";"URL"
"1";"Bierlokal Zum Umsteiger";"https://www.google.de/maps/place/Bierlokal+Zum+Umsteiger/@52.467962,13.428677,16z/data=!3m1!4b1!4m6!3m5!1s0x47a84f9a353ef657:0x65ea40b7e192cabe!8m2!3d52.467962!4d13.4312519!16s%2Fg%2F1tnjhm0b!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"1";"Biergarten Jockel";"https://www.google.de/maps/place/Biergarten+Jockel/@52.4912332,13.4336275,16z/data=!4m14!1m7!3m6!1s0x47a84f01287555b5:0x36faa6ba0ad876fc!2s%C5%92LGARTEN+-+Beers+%26+Bites!8m2!3d52.4973304!4d13.4494969!16s%2Fg%2F11t1dsggyv!3m5!1s0x47a84fad83ee12cf:0x32222854a7e82f96!8m2!3d52.4919277!4d13.4385616!16s%2Fg%2F1v16pb3n!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"1";"Bierbaum 1";"https://www.google.de/maps/place/Bierbaum+1/@52.4733881,13.4369486,17z/data=!3m2!4b1!5s0x47a84f9f6767b1a7:0x14eaca51a72150fa!4m6!3m5!1s0x47a84f9f677497a9:0x594765308c33fc99!8m2!3d52.4733881!4d13.4395235!16s%2Fg%2F11g72nm4ll?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"Bierbaum 2";"https://www.google.de/maps/place/Bierbaum+2/@52.4825359,13.437795,19.61z/data=!4m6!3m5!1s0x47a84fa504ea4695:0x9a316f9b279b5064!8m2!3d52.4827527!4d13.4375385!16s%2Fg%2F1thp707t?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"Bierbaum 3";"https://www.google.de/maps/place/Bierbaum+3/@52.4755215,13.4205107,17z/data=!3m1!4b1!4m6!3m5!1s0x47a84f9600b53623:0x10ecc057c123abc2!8m2!3d52.4755215!4d13.4230856!16s%2Fg%2F1232zv_2g?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"Arkaoda";"https://www.google.de/maps/place/Arkaoda/@52.4755429,13.4351386,16z/data=!4m6!3m5!1s0x47a84fa0266f3d75:0xc1391677353f0dd7!8m2!3d52.4738267!4d13.4426702!16s%2Fg%2F11f3pr0qkc!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"Sameheads";"https://www.google.de/maps/place/Sameheads/@52.4778501,13.4367628,16z/data=!3m1!4b1!4m6!3m5!1s0x47a84fa3de69939f:0x48780735b01319ad!8m2!3d52.4778469!4d13.4393431!16s%2Fg%2F1v8y31p7!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"1";"Else";"https://www.google.de/maps/place/ELSE/@52.487362,13.4459902,15z/data=!4m10!1m2!2m1!1sElse+!3m6!1s0x47a84efe6f490ee3:0xbb720851c71356f4!8m2!3d52.4949372!4d13.462252!15sCgRFbHNlWgYiBGVsc2WSAQpuaWdodF9jbHViqgFECgwvZy8xcHAydmswenEQASoIIgRlbHNlKAUyHhABIhpGt5AGmJUsJfK-qLcUD9cjVnF6rmdC1sMmWTIIEAIiBGVsc2XgAQA!16s%2Fg%2F1pp2vk0zq?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"Prachtwerk";"https://www.google.de/maps/place/Prachtwerk/@52.4755429,13.4351386,16z/data=!4m6!3m5!1s0x47a84fa3f3f064ff:0x97a0f11a28a8cef1!8m2!3d52.4790697!4d13.4388571!16s%2Fg%2F1q5gj0h_z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"Das Gift";"https://www.google.de/maps/place/Das+Gift/@52.4831097,13.4329285,16z/data=!4m6!3m5!1s0x47a84fbaec5ea50d:0x2975cac67d431dbb!8m2!3d52.484075!4d13.4324361!16s%2Fg%2F1wj_51r4!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
